"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NW Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)"
US48,"8/9/2022 12 a.m. EDT",47119,29809,38993,31602,112854,91266,52342,29482,18988
US48,"8/9/2022 1 a.m. EDT",45732,27658,36487,29235,107920,86230,49108,27310,17922
US48,"8/9/2022 2 a.m. EDT",43457,26187,34575,27383,103539,82753,45233,26329,16545
US48,"8/9/2022 3 a.m. EDT",40527,25172,33135,26180,99702,79285,41682,25426,15300
US48,"8/9/2022 4 a.m. EDT",37771,24397,32155,25423,97137,77026,39198,24759,14397
US48,"8/9/2022 5 a.m. EDT",35190,24102,31569,25314,96491,75614,37307,24566,13468
US48,"8/9/2022 6 a.m. EDT",33286,24669,31373,26175,98410,76045,36308,24673,12665
US48,"8/9/2022 7 a.m. EDT",32269,25756,31900,27615,102448,78542,35978,26047,12207
US48,"8/9/2022 8 a.m. EDT",31838,27008,32757,28695,107649,80308,36410,26669,12175
US48,"8/9/2022 9 a.m. EDT",31692,28821,33746,31247,112849,83042,37803,27550,12509
US48,"8/9/2022 10 a.m. EDT",32239,31177,35092,34428,117792,86055,39561,29089,12873
US48,"8/9/2022 11 a.m. EDT",33915,33729,36669,37771,123189,89752,41404,31436,13202
US48,"8/9/2022 12 p.m. EDT",35827,36380,38897,40801,128236,93826,43298,33809,13704
US48,"8/9/2022 1 p.m. EDT",38076,38796,41079,42963,133111,97243,45116,36026,14098
US48,"8/9/2022 2 p.m. EDT",38643,40510,42996,43951,137315,100294,46964,37577,14772
US48,"8/9/2022 3 p.m. EDT",39574,41466,44586,43666,139783,103101,48869,38455,15570
US48,"8/9/2022 4 p.m. EDT",40718,41605,45656,42491,140681,104764,50794,38753,16668
US48,"8/9/2022 5 p.m. EDT",42486,41107,46392,41749,141542,105629,52454,38835,17298
US48,"8/9/2022 6 p.m. EDT",44383,40618,46763,41421,141412,106751,54059,38688,18219
US48,"8/9/2022 7 p.m. EDT",46303,39850,46457,40909,137962,106720,54901,37795,18860
