"Date","Price","Open","High","Low","Vol.","Change %"
"2022-10-18","5.2308","5.2471","5.2669","5.2238","77.92K","-0.27%"
"2022-10-17","5.2450","5.1820","5.2534","5.1803","102.96K","1.30%"
"2022-10-14","5.1779","5.2140","5.2354","5.1737","122.86K","-0.67%"
"2022-10-13","5.2130","5.1939","5.2315","5.1447","108.90K","0.44%"
"2022-10-12","5.1903","5.1932","5.2137","5.1855","119.03K","-0.02%"
"2022-10-11","5.1912","5.1932","5.2251","5.1796","121.76K","0.01%"
"2022-10-10","5.1907","5.1809","5.2161","5.1711","103.28K","0.27%"
"2022-10-07","5.1768","5.1757","5.2038","5.1709","98.81K","0.07%"
"2022-10-06","5.1731","5.2258","5.2464","5.1728","104.38K","-0.97%"
"2022-10-05","5.2236","5.2660","5.2699","5.1953","100.42K","-0.76%"
"2022-10-04","5.2634","5.2231","5.2702","5.2073","100.69K","0.83%"
"2022-10-03","5.2202","5.1504","5.2249","5.1462","102.75K","1.49%"
"2022-09-30","5.1435","5.2087","5.2143","5.1417","118.44K","-1.16%"
"2022-09-29","5.2040","5.2916","5.2927","5.1865","118.68K","-1.62%"
"2022-09-28","5.2899","5.2295","5.2937","5.2172","121.22K","1.16%"
"2022-09-27","5.2292","5.1923","5.2469","5.1910","111.79K","0.73%"
"2022-09-26","5.1915","5.2449","5.2694","5.1656","116.89K","-0.98%"
"2022-09-23","5.2428","5.2474","5.2749","5.2365","94.90K","-0.08%"
"2022-09-22","5.2470","5.2358","5.2711","5.2105","102.53K","0.27%"
"2022-09-21","5.2331","5.2520","5.2780","5.2335","86.62K","-0.31%"
"2022-09-20","5.2492","5.2878","5.2977","5.2469","73.23K","-0.69%"
"2022-09-19","5.2856","5.2606","5.2905","5.2532","74.80K","0.44%"
"2022-09-16","5.2623","5.2876","5.3019","5.2479","81.58K","-0.46%"
"2022-09-15","5.2864","5.2880","5.3102","5.2820","80.28K","0.00%"
"2022-09-14","5.2865","5.2587","5.2979","5.2536","87.36K","0.56%"
"2022-09-13","5.2570","5.3316","5.3483","5.2559","74.94K","-1.34%"
"2022-09-12","5.3282","5.3184","5.3437","5.3044","66.84K","0.27%"
"2022-09-09","5.3139","5.3140","5.3326","5.3042","80.05K","0.01%"
"2022-09-08","5.3133","5.3067","5.3208","5.2860","87.16K","0.10%"
"2022-09-07","5.3079","5.2870","5.3138","5.2745","94.45K","0.41%"
"2022-09-06","5.2860","5.2758","5.3077","5.2726","88.70K","0.23%"
"2022-09-05","5.2741","5.2558","5.2818","5.2453","64.44K","0.43%"
"2022-09-02","5.2516","5.2503","5.2784","5.2413","81.60K","0.05%"
"2022-09-01","5.2490","5.2464","5.2569","5.2259","88.52K","0.07%"
"2022-08-31","5.2452","5.2790","5.2842","5.2441","89.49K","-0.58%"
"2022-08-30","5.2760","5.3088","5.3280","5.2722","83.31K","-0.60%"
"2022-08-29","5.3079","5.2740","5.3173","5.2566","73.86K","0.70%"
"2022-08-26","5.2708","5.2997","5.3174","5.2679","70.81K","-0.51%"
"2022-08-25","5.2980","5.2904","5.3126","5.2841","74.61K","0.19%"
"2022-08-24","5.2881","5.2769","5.2972","5.2673","76.17K","0.26%"
"2022-08-23","5.2745","5.2452","5.2861","5.2442","74.20K","0.60%"
"2022-08-22","5.2428","5.2446","5.2732","5.2408","69.78K","-0.03%"
"2022-08-19","5.2446","5.2400","5.2600","5.2333","69.89K","0.10%"
"2022-08-18","5.2394","5.2519","5.2722","5.2330","75.62K","-0.20%"
"2022-08-17","5.2497","5.2843","5.2878","5.2411","79.29K","-0.63%"
"2022-08-16","5.2829","5.2481","5.2907","5.2414","70.33K","0.69%"
"2022-08-15","5.2468","5.2804","5.2877","5.2352","65.08K","-0.59%"
"2022-08-12","5.2779","5.2821","5.2884","5.2648","67.84K","-0.09%"
"2022-08-11","5.2828","5.2640","5.2975","5.2591","74.24K","0.40%"
"2022-08-10","5.2618","5.2393","5.2735","5.2353","68.90K","0.46%"
"2022-08-09","5.2377","5.2497","5.2590","5.2340","68.35K","-0.26%"
"2022-08-08","5.2513","5.2288","5.2640","5.2209","70.37K","0.46%"
"2022-08-05","5.2271","5.2460","5.2478","5.2067","74.16K","-0.35%"
"2022-08-04","5.2452","5.2607","5.2714","5.2425","76.70K","-0.30%"
"2022-08-03","5.2608","5.2424","5.2652","5.2373","81.89K","0.39%"
"2022-08-02","5.2402","5.2694","5.2762","5.2412","91.53K","-0.53%"
"2022-08-01","5.2681","5.2629","5.2941","5.2599","77.43K","-0.04%"
"2022-07-29","5.2703","5.2688","5.2734","5.2400","81.60K","0.05%"
"2022-07-28","5.2678","5.2698","5.2751","5.2435","83.98K","0.01%"
"2022-07-27","5.2674","5.2479","5.2768","5.2339","79.13K","0.41%"
"2022-07-26","5.2460","5.2540","5.2707","5.2416","76.79K","-0.11%"
"2022-07-25","5.2520","5.2272","5.2602","5.2145","79.23K","0.51%"
"2022-07-22","5.2253","5.2579","5.2685","5.2220","83.60K","-0.60%"
"2022-07-21","5.2568","5.2434","5.2600","5.2302","87.45K","0.30%"
"2022-07-20","5.2413","5.2407","5.2530","5.2326","84.84K","0.05%"
"2022-07-19","5.2385","5.1949","5.2417","5.1907","86.15K","0.87%"
"2022-07-18","5.1933","5.1883","5.2270","5.1853","83.80K","0.18%"
"2022-07-15","5.1838","5.1494","5.1925","5.1404","88.72K","0.70%"
"2022-07-14","5.1476","5.1788","5.1855","5.1165","103.59K","-0.57%"
"2022-07-13","5.1769","5.1638","5.1983","5.1555","96.59K","0.29%"
"2022-07-12","5.1619","5.1643","5.1797","5.1519","91.94K","-0.03%"
"2022-07-11","5.1633","5.1701","5.1782","5.1472","85.84K","-0.10%"
"2022-07-08","5.1687","5.1693","5.1767","5.1411","91.01K","0.03%"
"2022-07-07","5.1669","5.1449","5.1695","5.1377","87.04K","0.46%"
"2022-07-06","5.1434","5.1539","5.1639","5.1295","102.05K","-0.18%"
"2022-07-05","5.1528","5.2095","5.2161","5.1356","96.45K","-1.07%"
"2022-07-04","5.2083","5.1996","5.2136","5.1857","62.27K","0.16%"
"2022-07-01","5.2002","5.2042","5.2070","5.1721","89.91K","-0.06%"
"2022-06-30","5.2032","5.1962","5.2092","5.1796","93.28K","0.15%"
"2022-06-29","5.1956","5.2104","5.2152","5.1888","84.76K","-0.25%"
"2022-06-28","5.2085","5.1953","5.2281","5.1947","82.47K","0.29%"
"2022-06-27","5.1932","5.1879","5.2010","5.1789","85.33K","0.15%"
"2022-06-24","5.1855","5.1543","5.1904","5.1499","82.28K","0.63%"
"2022-06-23","5.1531","5.1767","5.1830","5.1452","94.62K","-0.39%"
"2022-06-22","5.1732","5.1776","5.1910","5.1634","89.52K","-0.03%"
"2022-06-21","5.1749","5.1558","5.1912","5.1503","79.97K","0.43%"
